Substance,Total CO2 produced ,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021
CO2,World ,27576.89808,27693.65693,5527.55501,36386.31512,3700.37122,73392.68634,37985.06787,35952.88989,73937.95776
CO2,International Aviation ,480.9091262,496.6276965,524.6540345,548.2077774,582.2304897,609.6304686,617.7632293,338.1440834,390.1662501
CO2,International Shipping ,614.8859112,635.5683726,659.8416472,678.2022564,701.8738746,700.4282654,684.8432725,667.0373474,699.7221775
CO2,Fossil produced by countries ,26481.10304,26561.46086,4343.059328,35159.90509,2416.266859,72082.62761,36682.46137,34947.70846,72848.06933
